"","fn","ov_db","ov_dc","ov_de","threshold"
"394","1/cAA.dat.gz.txt",0.547169811320755,0.245283018867925,0.0754716981132075,0.05
"395","1/cAA.dat.gz.txt",0.5,0.203125,0.0625,0.06
"396","1/cAA.dat.gz.txt",0.459459459459459,0.202702702702703,0.0810810810810811,0.07
"397","1/cAA.dat.gz.txt",0.411764705882353,0.2,0.0705882352941176,0.08
"398","1/cAA.dat.gz.txt",0.385416666666667,0.197916666666667,0.0625,0.09
"399","1/cAA.dat.gz.txt",0.415094339622642,0.245283018867925,0.0754716981132075,0.1
"400","1/cBB.dat.gz.txt",0,1,0,0.001
"401","1/cBB.dat.gz.txt",0,1,0,0.002
"402","1/cBB.dat.gz.txt",0.5,0.5,0,0.003
"403","1/cBB.dat.gz.txt",0.5,0.5,0,0.004
"404","1/cBB.dat.gz.txt",1,0.666666666666667,0,0.005
"405","1/cBB.dat.gz.txt",1,0.666666666666667,0,0.006
"406","1/cBB.dat.gz.txt",1,0.666666666666667,0,0.007
"407","1/cBB.dat.gz.txt",1,0.5,0,0.008
"408","1/cBB.dat.gz.txt",1,0.5,0,0.009
"409","1/cBB.dat.gz.txt",1,0.6,0,0.01
"410","1/cBB.dat.gz.txt",0.666666666666667,0.333333333333333,0,0.02
